NutrientIngredients
nutrient_id,ingredient_id,ingredient
16,1,Spinach 
16,16,
16,120,
16,774,
16,786,
16,1091,
16,1289,
16,1321,
16,1432,
16,570,Swiss chard
16,583,
16,442,
16,396,
16,159,
16,6,
16,1441,
16,1346,
16,1349,
16,1270,
16,1240,
16,1038,
16,1036,
16,953,
16,952,
16,734,
16,595,
16,5,
16,20,
16,441,
16,123,
16,142,
16,172,
16,177,
16,243,
16,404,
16,500,
16,544,
16,556,
16,652,
16,671,
16,899,
16,1000,
16,1009,
16,1266,
16,1334,
16,1355,
16,1384,
16,146,Ginger
16,155,
16,167,
16,245,
16,405,
16,772,
16,996,
16,1399,
19,1275,oyster
19,1297,Oyster
19,295,cashew
19,313,
19,400,
19,952,
19,1313,
19,1346,
19,1349,
19,840,Pork liver
19,1113,Beef liver
19,1117,Chicken liver
19,1119,Pork liver
19,258,Beef broth
19,364,
19,380,
19,732,
19,806,
19,873,
19,880,
19,886,
19,1085,
19,1104,
19,1193,
19,1356,
19,7,eggs
19,61,
19,80,
19,91,
19,179,
19,198,Egg yolk
19,745,
19,1044,
19,1099,
19,1177,
19,1221,
19,342,Lump crabmeat
19,494,
19,616,
19,1277,
19,1290,
19,1303,
19,1306,
19,1307,
19,1309,
19,1311,
19,206,
19,297,chickpeas
19,440,
19,26,Oats
19,36,
19,119,
19,151,
19,158,
19,730,
19,733,
19,130,tofu
19,160,
19,163,
19,443,
19,606,
19,916,
19,950,
19,1138,
5,4,salmon
5,180,
5,332,
5,388,
5,467,
5,471,
5,473,
5,513,
5,791,
5,794,
5,815,
5,823,
5,826,
5,1153,
5,1164,
5,837,cod
5,838,
5,194,fish
5,250,
5,521,
5,561,
5,692,
5,800,
5,963,
5,1135,
5,1181,
5,1276,
5,587,sardines
5,932,anchovies
5,187,caviar
5,1331,flax seed
5,1384,
5,142,
5,177,
5,5,Chia seeds
5,166,Chia seeds
5,690,
5,734,
5,1215,
5,6,
5,1273,
5,1,
38,1133,seaweed
38,1148,
38,837,cod
38,838,
38,7,eggs
38,61,
38,80,
38,91,
38,179,
38,198,Egg yolk
38,745,
38,1044,
38,1099,
38,1177,
38,1221,
38,1275,oyster
38,1297,Oyster
38,779,Greek yogurt
38,781,
38,1388,
38,1391,
38,23,
25,1362,Black beans
25,74,
25,232,
25,475,Mussels
25,105,cereal
25,615,rice
25,1081,
25,1141,
25,1161,
25,1171,
25,1175,
25,1179,
25,1267,
25,1299,
25,1350,
25,1440,
25,234,
25,240,
25,242,
25,458,
25,831,pasta
25,937,
25,945,
25,955,
25,1426,
25,457,
25,459,
25,818,
25,256,pork
25,339,
25,537,
25,541,
25,646,
25,784,
25,840,
25,852,
25,853,
25,1119,
25,1121,
25,1123,
25,1285,
25,1447,
26,105,cereal
26,26,Oats
26,36,
26,119,
26,151,
26,158,
26,730,
26,733,
26,779,Greek yogurt
26,781,
26,1388,
26,1391,
26,23,
26,773,Yogurt
26,783,
26,785,
26,1227,
26,27,
26,107,
26,741,
26,71,mushrooms
26,88,
26,224,
26,316,
26,347,
26,373,
26,385,
26,517,
26,594,
26,910,
26,956,
26,959,
26,964,
26,1077,
26,1983,
26,1987,
26,1094,
26,1343,
26,1377,
26,1407,
26,1416,
26,1436,
26,2,Almonds
26,928,
26,39,Almond milk
26,46,
26,782,
26,50,Almond butter
26,717,Almond flour
26,737,Wholes almond
26,754,Almond butter
26,812,Slivered almonds
27,311,Stew meat
27,1069,
27,1088,
27,1229,
27,1418,Goat meat
27,258,Beef broth
27,364,
27,380,
27,732,
27,806,
27,873,
27,880,
27,886,
27,1085,
27,1104,
27,1193,
27,1356,
27,590,poultry
27,255,
27,259,
27,260,
27,305,
27,338,
27,439,
27,647,
27,793,
27,799,
27,804,
27,846,
27,858,
27,882,
27,900,
27,978,
27,1117,
27,1161,
27,1194,
27,1195,
27,1340,
27,1371,
27,1423,
27,1424,
28,590,poultry
28,255,
28,259,
28,260,
28,305,
28,338,
28,439,
28,647,
28,793,
28,799,
28,804,
28,846,
28,858,
28,882,
28,900,
28,978,
28,1117,
28,1161,
28,1194,
28,1195,
28,1340,
28,1371,
28,1423,
28,1424,
28,266,Avocado
28,358,
28,487,
28,516,
28,525,
28,798,
28,1412,
28,462,Tuna
28,470,
28,963,
28,1132,
28,1144,
28,105,cereal
28,26,Oats
28,36,
28,119,
28,151,
28,158,
28,730,
28,733,
29,311,Stew meat
29,1069,
29,1088,
29,1229,
29,1418,Goat meat
29,258,Beef broth
29,364,
29,380,
29,732,
29,806,
29,873,
29,880,
29,886,
29,1085,
29,1104,
29,1193,
29,1356,
29,590,poultry
29,255,
29,259,
29,260,
29,305,
29,338,
29,439,
29,647,
29,793,
29,799,
29,804,
29,846,
29,858,
29,882,
29,900,
29,978,
29,1117,
29,1161,
29,1194,
29,1195,
29,1340,
29,1371,
29,1423,
29,1424,
29,462,Tuna
29,470,
29,963,
29,1132,
29,1144,
29,4,salmon
29,180,
29,332,
29,388,
29,467,
29,471,
29,473,
29,513,
29,791,
29,794,
29,815,
29,823,
29,826,
29,1153,
29,1164,
29,297,chickpeas
29,440,
29,139,potatoes
29,227,
29,285,
29,296,
29,430,
29,912,
29,929,
29,942,
29,986,
29,1086,
29,1095,
29,1212,
29,1235,
29,1351,
30,4,salmon
30,180,
30,332,
30,388,
30,467,
30,471,
30,473,
30,513,
30,791,
30,794,
30,815,
30,823,
30,826,
30,1153,
30,1164,
30,311,Stew meat
30,1069,
30,1088,
30,1229,
30,1418,Goat meat
30,258,Beef broth
30,364,
30,380,
30,732,
30,806,
30,873,
30,880,
30,886,
30,1085,
30,1104,
30,1193,
30,1356,
30,256,pork
30,339,
30,537,
30,541,
30,646,
30,784,
30,840,
30,852,
30,853,
30,1119,
30,1121,
30,1123,
30,1285,
30,1447,
30,7,eggs
30,61,
30,80,
30,91,
30,179,
30,198,Egg yolk
30,745,
30,1044,
30,1099,
30,1177,
30,1221,
30,172,Sunflower seeds
31,258,Beef broth
31,364,
31,380,
31,732,
31,806,
31,873,
31,880,
31,886,
31,1085,
31,1104,
31,1193,
31,1356,
31,324,Steak
31,353,
31,364,
31,375,
31,579,
31,1356,
31,1431,
31,4,salmon
31,180,
31,332,
31,388,
31,467,
31,471,
31,473,
31,513,
31,791,
31,794,
31,815,
31,823,
31,826,
31,1153,
31,1164,
31,779,Greek yogurt
31,781,
31,1388,
31,1391,
31,23,
31,773,Yogurt
31,783,
31,785,
31,1227,
31,27,
31,107,
31,741,
31,1113,Beef liver
31,29,Milk
31,55,
31,102,
31,636,
31,1014,
23,1275,oyster
23,1297,Oyster
23,475,Mussels
23,344,turkey
23,349,
23,1180,
23,80,Duck egg
23,258,Beef broth
23,364,
23,380,
23,732,
23,806,
23,873,
23,880,
23,886,
23,1085,
23,1104,
23,1193,
23,1356,
23,324,Steak
23,353,
23,364,
23,375,
23,579,
23,1356,
23,1431,
23,1110,sardines
23,587,
23,342,Lump crabmeat
23,494,
23,616,
23,1277,
23,1290,
23,1303,
23,1306,
23,1307,
23,1309,
23,1311,
23,206,
23,323,lamb
23,330,
23,357,
23,382,
23,511,
23,992,
23,1088,
23,68,Shrimp
23,481,
23,529,
,617,
,988,
,1421,
,1,Spinach 
,16,
,120,
,774,
,786,
,1091,
,1289,
,1321,
,1432,
,94,asparagus
,816,
,1007,
,563,Artichoke
,780,
,1091,
,232,
,233,
,279,
,281,
,869,
,876,
,891,
,1228,
,1362,
,1414,
,386,beets
,492,
,1324,
,105,cereal
,26,Oats
,36,
,119,
,151,
,158,
,730,
,733,
,297,chickpeas
,440,
,1338,pomegranate
,170,
,49,broccoli
,199,
,241,
,894,
,896,
,927,
,930,
,951,
,236,lentils
,672,
,683,
,1358,
,1385,
13,1023,Coffee beans
13,750,
13,1017,
13,1018,
13,1020,
13,1031,
13,1033,
13,1054,
13,1057,
13,1058,
13,1068,
13,48,Matcha tea
13,1166,Tea powder
32,21,pepper
32,42,
32,56,
32,301,
32,335,
32,346,
32,348,
32,627,
32,527,
32,577,
32,591,
32,632,
32,650,
32,651,
32,836,
32,839,
32,864,
32,890,
32,949,
32,1070,
32,1084,
32,1094,
32,1112,
32,1114,
32,1206,
32,1230,
32,1282,
32,1284,
32,1292,
32,1298,
32,1323,
32,1332,
32,1438,
32,219,orange
32,990,
32,486,kiwi
32,49,broccoli
32,199,
32,241,
32,894,
32,896,
32,927,
32,930,
32,951,
32,715,strawberry
32,1335,
32,43,
32,421,Brussel sprouts
32,569,
32,922,cauliflower
32,397,
32,420,
32,571,
32,1,Spinach 
32,16,
32,120,
32,774,
32,786,
32,1091,
32,1289,
32,1321,
32,1432,
32,139,potatoes
32,227,
32,285,
32,296,
32,430,
32,912,
32,929,
32,942,
32,986,
32,1086,
32,1095,
32,1212,
32,1235,
32,1351,
32,53,tomato
32,85,
32,270,
32,284,
32,291,
32,317,
32,321,
32,356,
32,363,
32,407,
32,416,
32,426,
32,431,
32,532,
32,551,
32,585,
32,608,
32,641,
32,833,
32,851,
32,879,
32,897,
32,901,
32,905,
32,916,
32,943,
32,1074,
32,1115,
32,1372,
32,1410,
32,134,lemon
32,178,
32,193,
32,283,
32,354,
32,393,
32,414,
32,446,
32,460,
32,498,
32,503,
32,857,
32,913,
32,982,
32,998,
32,146,Ginger
32,155,
32,167,
32,245,
32,405,
32,772,
32,996,
32,1399,
33,837,cod
33,838,
33,4,salmon
33,180,
33,332,
33,388,
33,467,
33,471,
33,473,
33,513,
33,791,
33,794,
33,815,
33,823,
33,826,
33,1153,
33,1164,
33,71,mushrooms
33,88,
33,224,
33,316,
33,347,
33,373,
33,385,
33,517,
33,594,
33,910,
33,956,
33,959,
33,964,
33,1077,
33,1983,
33,1987,
33,1094,
33,1343,
33,1377,
33,1407,
33,1416,
33,1436,
33,29,Milk 
33,55,
33,102,
33,636,
33,1014,
33,8,Alternative milk
33,39,
33,46,
33,138,
33,152,
33,701,
33,731,
33,782,
33,1949,
33,1156,
33,1179,
33,1404,
33,1110,sardines
33,587,
33,462,Tuna
33,470,
33,963,
33,1132,
33,1144,
33,7,eggs
33,61,
33,80,
33,91,
33,179,
33,198,Egg yolk
33,745,
33,1044,
33,1099,
33,1177,
33,1221,
39,462,Tuna
39,470,
39,963,
39,1132,
39,1144,
39,1110,sardines
39,587,
39,68,Shrimp
39,481,
39,529,
39,617,
39,988,
39,1421,
39,324,Steak
39,353,
39,364,
39,375,
39,579,
39,1356,
39,1431,
39,923,spaghetti
39,545,
39,1113,Beef liver
39,256,pork
39,339,
39,537,
39,541,
39,646,
39,784,
39,840,
39,852,
39,853,
39,1119,
39,1121,
39,1123,
39,1285,
39,1447,
